Call Reason,Call Center,Market,Product,Competitor,Truck Roll,Calls,AHT,NPS,Calls 2 Resolve,Attrition Likelihood,% Upsell,At Risk,Win Backs,Losses,New Service,Net Customers
D,D,D,D,D,D,B,M,M,M,M,M,,,,,
,,,,,,,z,n,n,%,%,,,,,
Modem Issue,*,*,*,*,*,100,35600,2500,230,23,18,,,,,
*,*,Southwest,*,*,*,100,27643,3500,180,14,21,,,,,
Bill Issue,*,*,*,*,*,100,44100,3500,140,18,22,,,,,
Internet down,*,*,*,*,*,100,35200,2400,250,21,12,,,,,
PPV Issues,*,*,*,*,*,100,30200,3400,230,14,15,,,,,
DVR Issue,*,*,*,*,*,100,39300,1900,190,24,12,,,,,
Move In/Out,*,*,*,*,*,100,54100,4500,350,53,45,,,,,
Call Promotion,*,*,*,*,*,100,31000,5500,130,8,59,,,,,
Bundling Promotion,*,*,*,*,*,100,34300,5900,150,6,45,,,,,
Premium Package Promotion,*,*,*,*,*,100,28400,4800,140,5,36,,,,,
*,*,Northeast,*,*,*,100,35600,3500,180,14,21,,,,,
*,*,*,Voice,*,*,100,35600,3500,180,14,21,,,,,
*,*,*,Data,*,*,100,35600,3500,180,14,21,,,,,
*,*,*,Text,*,*,100,35600,3500,180,14,21,,,,,
Modem Issue,*,Southwest,*,*,*,50,10000,2687,243,18,19,,,,,
